,DATE,RIDE,ALIGHT
154,20190604,8471637.0,8443709.0
155,20190605,8830646.0,8803531.0
156,20190606,5214097.0,5184158.0
157,20190607,7792983.0,7764385.0
158,20190608,6460739.0,6425534.0
159,20190609,4555745.0,4526955.0
160,20190610,8140124.0,8115186.0
161,20190611,8426561.0,8398867.0
162,20190612,8436850.0,8409218.0
163,20190613,8491512.0,8463141.0
164,20190614,8738857.0,8709226.0
165,20190615,6693392.0,6658780.0
166,20190616,4765657.0,4734965.0
167,20190617,8199981.0,8173463.0
168,20190618,8214004.0,8185448.0
169,20190619,8359400.0,8331480.0
170,20190620,8544825.0,8515377.0
171,20190621,8756816.0,8725933.0
172,20190622,6826801.0,6791717.0
173,20190623,4919631.0,4890167.0
174,20190624,8155794.0,8128323.0
175,20190625,8296896.0,8268392.0
176,20190626,8295254.0,8266536.0
177,20190627,8197084.0,8168560.0
178,20190628,8599857.0,8570855.0
179,20190629,6316617.0,6284920.0
180,20190630,4747971.0,4719230.0
181,20190701,7991995.0,7965187.0
182,20190702,8185777.0,8157272.0
183,20190703,8303565.0,8273231.0
184,20190704,8326655.0,8295946.0
185,20190705,8684216.0,8655157.0
186,20190706,6377621.0,6345989.0
187,20190707,4727873.0,4698997.0
188,20190708,8020694.0,7993049.0
189,20190709,8271246.0,8242045.0
190,20190710,8203020.0,8172554.0
191,20190711,8151391.0,8123445.0
192,20190712,8692901.0,8662894.0
193,20190713,6461558.0,6429144.0
194,20190714,4796336.0,4766229.0
195,20190715,7857538.0,7829735.0
196,20190716,8114695.0,8085524.0
197,20190717,8232188.0,8203259.0
198,20190718,8247612.0,8217805.0
199,20190719,8596195.0,8565406.0
200,20190720,6057596.0,6029256.0
201,20190721,4487074.0,4459972.0
202,20190722,7936110.0,7907346.0
203,20190723,8011439.0,7982954.0
204,20190724,7947219.0,7918360.0
205,20190725,7877037.0,7847610.0
206,20190726,7866547.0,7841011.0
207,20190727,5883945.0,5853693.0
208,20190728,4116856.0,4090705.0
209,20190729,7708348.0,7679259.0
210,20190730,7741716.0,7711032.0
211,20190731,7377885.0,7349910.0
212,20190801,7620871.0,7590717.0
213,20190802,7804885.0,7773616.0
214,20190803,5535659.0,5505685.0
215,20190804,4325436.0,4295872.0
216,20190805,7345208.0,7317289.0
217,20190806,7535447.0,7506075.0
218,20190807,7571721.0,7541631.0
219,20190808,7791984.0,7762890.0
220,20190809,8110118.0,8080191.0
221,20190810,5830133.0,5801699.0
222,20190811,4481508.0,4453947.0
223,20190812,7379443.0,7352890.0
224,20190813,7893015.0,7862057.0
225,20190814,8109784.0,8079278.0
226,20190815,4754066.0,4725883.0
227,20190816,7585726.0,7557943.0
228,20190817,5806816.0,5776230.0
229,20190818,4597168.0,4569949.0
230,20190819,7832106.0,7803785.0
231,20190820,8039294.0,8008180.0
232,20190821,8085897.0,8055084.0
233,20190822,8083171.0,8053291.0
234,20190823,8502383.0,8472577.0
235,20190824,6476808.0,6444500.0
236,20190825,4736717.0,4707132.0
237,20190826,8027292.0,7999907.0
238,20190827,8174019.0,8145506.0
239,20190828,8300111.0,8271504.0
240,20190829,8016127.0,7988691.0
241,20190830,8661238.0,8630704.0
242,20190831,6658502.0,6624507.0
243,20190901,4876432.0,4847135.0
244,20190902,8273578.0,8246124.0
245,20190903,8395771.0,8367510.0
246,20190904,8164368.0,8138369.0
247,20190905,8124395.0,8098324.0
248,20190906,8673943.0,8644032.0
249,20190907,4443955.0,4423567.0
250,20190908,4698359.0,4673085.0
251,20190909,8329081.0,8304216.0
252,20190910,8236254.0,8209608.0
253,20190911,8387337.0,8358833.0
254,20190912,3582721.0,3559928.0
255,20190913,3308479.0,3285467.0
256,20190914,4120087.0,4096745.0
257,20190915,4424630.0,4399313.0
258,20190916,8067090.0,8041660.0
259,20190917,8437892.0,8411005.0
260,20190918,8547436.0,8519116.0
261,20190919,8594218.0,8565499.0
262,20190920,8988314.0,8957824.0
263,20190921,6960464.0,6923406.0
264,20190922,4435698.0,4409368.0
265,20190923,8381957.0,8354860.0
266,20190924,8591085.0,8561777.0
267,20190925,8619490.0,8590702.0
268,20190926,8583744.0,8553901.0
269,20190927,8969868.0,8938234.0
270,20190928,7289325.0,7251057.0
271,20190929,5159192.0,5126479.0
272,20190930,8341565.0,8313478.0
273,20191001,8450703.0,8419770.0
274,20191002,8603980.0,8572960.0
275,20191003,5806392.0,5763798.0
276,20191004,8503843.0,8470840.0
277,20191005,7240280.0,7200643.0
278,20191006,5015589.0,4980635.0
279,20191007,7912870.0,7889875.0
280,20191008,8773609.0,8746197.0
281,20191009,5906634.0,5870257.0
282,20191010,8444956.0,8416392.0
283,20191011,8790469.0,8760265.0
284,20191012,7058041.0,7022050.0
285,20191013,5074067.0,5042836.0
286,20191014,8278022.0,8251548.0
287,20191015,8430507.0,8401962.0
288,20191016,8403234.0,8373906.0
289,20191017,8460030.0,8431510.0
290,20191018,8829334.0,8800473.0
291,20191019,7166950.0,7130045.0
292,20191020,5132556.0,5099954.0
293,20191021,8242940.0,8217541.0
294,20191022,8420610.0,8394084.0
295,20191023,8466107.0,8438851.0
296,20191024,8518751.0,8489602.0
297,20191025,9168811.0,9135998.0
298,20191026,7414985.0,7374705.0
299,20191027,5396611.0,5362706.0
300,20191028,8414454.0,8388976.0
301,20191029,8577372.0,8551010.0
302,20191030,8621322.0,8594208.0
303,20191031,8577819.0,8552286.0
304,20191101,8821280.0,8793103.0
305,20191102,6998432.0,6964168.0
306,20191103,5164051.0,5130240.0
307,20191104,8346301.0,8321330.0
308,20191105,8466623.0,8440261.0
309,20191106,8519800.0,8493114.0
310,20191107,8556137.0,8528471.0
311,20191108,8889015.0,8860408.0
312,20191109,7059076.0,7024371.0
313,20191110,4947258.0,4916076.0
314,20191111,8236483.0,8214485.0
315,20191112,8424043.0,8398130.0
316,20191113,8307567.0,8281537.0
317,20191114,8387951.0,8361020.0
318,20191115,8571401.0,8544953.0
319,20191116,6865076.0,6833169.0
320,20191117,4547062.0,4519238.0
321,20191118,8239847.0,8213073.0
322,20191119,8366053.0,8335075.0
323,20191120,8356841.0,8329658.0
324,20191121,8400197.0,8373034.0
325,20191122,8741053.0,8712342.0
326,20191123,6782600.0,6750345.0
327,20191124,4789136.0,4758716.0
328,20191125,8173263.0,8148890.0
329,20191126,8443643.0,8416936.0
330,20191127,8589550.0,8562662.0
331,20191128,8557637.0,8531008.0
332,20191129,8911781.0,8882374.0
333,20191130,6825325.0,6791674.0
334,20191201,4468607.0,4441810.0
335,20191202,8210046.0,8177792.0
336,20191203,8305533.0,8278579.0
337,20191204,8447163.0,8421066.0
338,20191205,8432826.0,8405061.0
339,20191206,8600690.0,8572064.0
340,20191207,6689169.0,6657100.0
341,20191208,4763935.0,4734711.0
342,20191209,8172999.0,8149938.0
343,20191210,8362643.0,8337137.0
344,20191211,8485643.0,8459202.0
345,20191212,8609254.0,8581543.0
346,20191213,8993812.0,8965253.0
347,20191214,7177937.0,7142525.0
348,20191215,4968511.0,4933718.0
349,20191216,8296050.0,8268994.0
350,20191217,8265848.0,8237466.0
351,20191218,8589967.0,8560672.0
352,20191219,8679111.0,8649450.0
353,20191220,9169870.0,9139640.0
354,20191221,7139298.0,7104194.0
355,20191222,5108439.0,5076206.0
356,20191223,8410199.0,8381066.0
357,20191224,8843820.0,8815901.0
358,20191225,5383807.0,5357371.0
359,20191226,8270786.0,8242619.0
360,20191227,8641121.0,8611826.0
361,20191228,6567343.0,6533929.0
362,20191229,4756871.0,4726139.0
363,20191230,8059114.0,8030589.0
